Company name,Status,Industry,Salary-Cuts,Location
Clevertap,Layoffs,Marketing & Advertising,Yes,"India, US, Singapore"
CloudSEK,Hiring,Business Software,No,"Singapore, India"
CloudSEK,Hiring freezes,Business Software,No,
Clumio,Hiring,IT Infrastucture,No,Bangalore
Clumio,Hiring,IT Infrastructure,,India
CodeCraft Technologies,Hiring,Consulting & Services,No,"Bangalore, Mangaluru"
Codeninja.ai,Hiring,Business Software,No,Bangalore
Codestore,Hiring,Consumer Tech,No,
CogniTensor,Layoffs,IT Infrastucture,Yes,"Noida, Uttar pradesh"
Cognizant,Hiring,IT Infrastucture,No,
Cognologix,Hiring,Consulting & Services,No,"Pune, Bangalore"
Cognologix Technologies,Hiring,Business Software,,Pune
Cogoport,Layoffs,Business Software,Yes,Mumbai
Collegedunia,Layoffs,Marketing & Advertising,No,Gurgaon
Comodo Security Solutions,Layoffs,Information Technology,Yes,India
Compro Technologies,Hiring freezes,Consulting & Services,No,New Delhi
Concentrix,Hiring,Consulting & Services,No,Gurugram
Concertante Labs LLP,Hiring,,No,India
Conde Nast,Hiring,Travel & Transportation,,"Mumbai, Chennai"
Conde Nast India,Hiring,Travel & Transportation,,"Mumbai, Fort Area"
Connect India Ecommerce,Hiring,Travel & Transportation,Yes,India
Contentserv India,Layoffs,Business Software,,Pune
Continental Contitech,Hiring freezes,Manufacturing,,India
Coolberg,Hiring freezes,Consumer Goods,,
Corevalue Technologies,Hiring,Information Technology,No,Noida
Counsellr web Developmen,Hiring freezes,Business Software,No,Raipur
Course5 Intelligence,Hiring,Business Software,,"Mumbai, Bangalore"
Coursera,Hiring,Education Tech,,"Gurgaon, Global"
CRED,Hiring freezes,Financial Services,No,India
CRED,Hiring,Consumer Tech,No,Bangalore
Crescendo,Hiring,HR Tech,,India
Cropin,Hiring freezes,Consumer Tech,Yes,Bangalore
CSG,Hiring,Communications,No,
Cura Technologies,Layoffs,Healthcare,No,Bangalore
cure.fit,Hiring,Healthcare,No,
CureFit,Hiring freezes,Healthcare,No,Bangalore
Curefit,Layoffs,Healthcare,Yes,
CVC Capital Partners,Hiring,Financial Services,No,India
Cvent,Layoffs,Marketing & Advertising,Yes,Gurgaon
Cvent,Hiring,Business Software,No,Gurgaon
Cyware Labs,Hiring freezes,Business Software,Yes,
D E Shaw,Hiring,Financial Services,,India
Daffodil Software,Hiring,Information Technology,,India
Dailyhunt,Hiring freezes,Media & Entertainment,Yes,Bangalore
Dailyhunt,Hiring freezes,Consumer Tech,Yes,Bangalore
DailyRounds,Hiring,Healthcare,,India
Daimler India,Hiring freezes,Automotive,No,India
DanskeIT,Hiring,Financial Services,No,Bangalore
Dar al Handasah,Hiring freezes,Consulting & Services,Yes,Pune
Darwinbox,Hiring,Business Software,No,Hyderabad
Data Braiders,Hiring,Consulting & Services,,India
Databricks,Hiring,Business Software,No,"San Francisco, Amsterdam"
DataRobot,Layoffs,Consulting & Services,,India
Datasigns Technologies,Layoffs,Financial Services,Yes,Bangalore
Dazn,Hiring freezes,Media & Entertainment,No,Netherlands
DBS Bank,Hiring,Financial Services,No,Hyderabad
DealerSocket,Hiring freezes,Automotive,No,
DealShare,Hiring,Retail,,"Bangalore, Jaipur, Ahmedabad"
DealShare,Hiring,Consumer Tech,,India
DECATHLON SPORTS INDIA,Hiring freezes,Retail,No,India
Decurtis,Layoffs,IT Infrastucture,,"Jaipur, Bangalore, Orlando"
Decurtis corporation,Hiring freezes,,No,
Delhivery,Layoffs,Travel & Transportation,Yes,India
Dell,Hiring freezes,IT Infrastucture,,
Dell EMC,Hiring freezes,IT Infrastucture,No,
Deloitte,Hiring,Consulting & Services,No,
Deloitte,Hiring freezes,Consulting & Services,No,"Mumbai, Gurgaon, Bangalore"
Delphi Technology,Layoffs,Automotive,Yes,Bangalore
