Company name,Status,Industry,Salary-Cuts,Location
Trueblue Inc,Layoffs,Consumer Services,Yes,Tacoma
Truelyser Biosystems,Layoffs,Healthcare,Yes,Bangalore
Truworth Wellness,Hiring,Healthcare,No,Bangalore
TSYS,Layoffs,Financial Services,Yes,India
Tunerlabs,Hiring,Consulting & Services,No,Bangalore
Turtlemint,Hiring freezes,Financial Services,Yes,Mumbai
TVFPlay,Layoffs,Media & Entertainment,No,India
Uber,Hiring freezes,Travel & Transportation,No,India
Uber Private India Limited,Hiring,Travel & Transportation,,India
Ubisoft,Hiring,Media & Entertainment,No,Pune
UBS,Hiring,Financial Services,,Pune
Udaan,Hiring,E-Commerce,No,Bangalore
Udaan,Layoffs,E-Commerce,No,India
Udaan,Hiring,E-Commerce,,Pan India
Udaan,Hiring,E-Commerce,No,India
Udaan,Hiring,Consumer Tech,,India
udaan,Layoffs,,Yes,
Unacademy,Hiring,Education Tech,No,Bangalore
Unacademy,Hiring,Education Tech,No,Bangalore
Unacademy,Hiring,Education Tech,,India
Unilodgers,Layoffs,Consulting & Services,Yes,"India , US"
United Airlines,Hiring freezes,Travel & Transportation,No,
UpGrad,Hiring,Education Tech,No,Mumbai
UpGrad,Layoffs,Education Tech,No,Mumbai
Upgrad,Hiring freezes,Education Tech,Yes,
Upstox,Hiring,Financial Services,No,Mumbai
Urban Company,Hiring freezes,Consumer Services,,"India, Australia, UAE, Singapur"
Urban Company,Hiring,Consumer Services,No,"India, UAE, Australia, Singapur"
Urban Company,Hiring,Consumer Services,,Across Multiple Locations
Urban Ladder,Hiring freezes,Retail,No,Bangalore
UrbanClap,Hiring,Consumer Services,,Bangalore
UrbanPiper,Hiring,Business Software,No,Bangalore
Urjanet,Hiring freezes,Energy,No,Chennai
UST Global,Hiring,Consulting & Services,No,India
Vahak,Hiring,Travel & Transportation,,Bangalore
Valiance Solutions,Hiring,Financial Services,No,Noida/Gurgaon
Vassar Labs,Layoffs,Consulting & Services,Yes,Andhra Pradesh
Vaya Life,Hiring,Consumer Goods,No,chennai
Vdx.tv,Hiring freezes,Marketing & Advertising,Yes,US
Vector consulting group,Hiring freezes,Consulting & Services,Yes,Thane
Vendekin Technologies,Hiring,Retail,,Pune
Venturit Consulting Services,Hiring freezes,Productivity Software,Yes,Pune
Verloop.io,Hiring,Marketing & Advertising,,India
Viacom 18,Hiring,Media & Entertainment,No,
Vichara Technologies,Hiring,Business Software,No,Gurgaon
Villgro,Hiring,Consumer Goods,,Bangalore or Chennai
Villgro,Hiring,Consulting & Services,,India
Virtusa,Hiring,Consulting & Services,Yes,Chennai
Visa,Hiring freezes,Financial Services,No,
VMock,Hiring freezes,HR Tech,Yes,Gurgaon
VMware,Hiring freezes,Business Software,Yes,
VMware,Hiring,IT Infrastucture,No,
Vodafone Global,Hiring,Consulting & Services,No,"Pune, banglore"
Vogo,Layoffs,Travel & Transportation,,India
Vogo,Layoffs,Travel & Transportation,Yes,BANGALORE
Vogo,Hiring,Travel & Transportation,,India
Vokal,Hiring,Consumer Tech,No,Bangalore
Volvo group,Hiring,Automotive,No,Bangalore
Vymo,Hiring,Consulting & Services,,
Wadhwani Foundation,Hiring freezes,Education Tech,No,"Bangalore, Delhi, Mumbai"
Walmart,Hiring,Retail,,Global
Walnut Folks,Hiring,Marketing & Advertising,,Nagpur
Walt Disney,Hiring freezes,Media & Entertainment,Yes,Mumbai
WebArtistic Tech,Hiring,Information Technology,,India
WebChanakya,Hiring freezes,Marketing & Advertising,,Ahmedabad
WebEngage,Hiring,Financial Services,,"Mumbai, Bangalore"
Wells Fargo,Hiring,Financial Services,,Bangalore
Whatfix,Hiring,Business Software,No,"Bangalore, SanJose, Atlanta,"
Whishworks,Hiring freezes,Consulting & Services,No,Hyderabad
White Hat Jr,Hiring,Education Tech,,Mumbai
White Hat Jr,Hiring,Education Tech,,India
Wink & Nod,Layoffs,E-Commerce,Yes,Pune
Wipro HR Services,Hiring freezes,Information Technology,No,
Withlocals,Layoffs,Travel & Transportation,No,Eindhoven
WNS Global,Hiring freezes,Consulting & Services,No,India
WNS Global Services,Hiring freezes,Consulting & Services,No,
WNS Global Services,Hiring freezes,,No,
WorkIndia,Hiring,HR Tech,,Bangalore
World Wide Technology,Hiring,Consulting & Services,No,Global
Wow Express,Layoffs,Travel & Transportation,Yes,
wowJobs,Hiring,HR Tech,No,India
Xiaomi Technology,Hiring,Information Technology,,India
Xobin,Hiring,HR Tech,No,Chennai
Xpressbees,Layoffs,Travel & Transportation,Yes,
xto10x,Hiring,Consulting & Services,,Bangalore
YCook India Pvt. Ltd.,Hiring freeze,Food & Dining,Yes,Bangalore
your-space,Hiring,Real Estate,,India
Yourclasses,Hiring,Education Tech,No,India
Zartis Spain SL,Layoffs,,Yes,"Madrid, Spain"
ZeMoSo Technologies,Hiring,Business Software,No,Hyderabad
Zendrive,Hiring freezes,Automotive,Yes,"United States, Bangalore"
Zeotap,Hiring,Business Software,,"Mumbai, Bangalore"
Zeta,Hiring,Business Software,No,India
Zilingo,Hiring,E-Commerce,,Mumbai
Zilingo,Layoffs,Business Software,No,Bangalore
Zoapi,Hiring freezes,Business Software,No,Bangalore
Zolostays,Layoffs,Real Estate,Yes,India
Zolostays,Hiring freezes,Real Estate,No,
Zolostays,Layoffs,Real Estate,Yes,Banglore
Zolostays,Layoffs,Real Estate,Yes,Banglore
Zomato,Hiring freezes,Consumer Tech,Yes,Gurgaon
Zomato,Layoffs,Hospitality,Yes,Gurgaon
Zopper,Hiring,Financial Services,No,Noida
ZS Associates,Hiring freezes,Consulting & Services,No,"Gurgaon, Pune"
Zycus,Hiring freezes,Business Software,No,India
Zynga,Hiring,Media & Entertainment,No,
